"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.76859664366716e-32,1.21398824187787,0.255,0.145,3.4804213350726e-28,"0","ENSMUSG00000100147.2"
1.78492285331106e-32,0.420412792801792,0.766,0.704,3.51254968303084e-28,"0","ENSMUSG00000016541.10"
1.23121949670254e-31,0.395620639179105,0.49,0.342,2.42291684756092e-27,"0","ENSMUSG00000097346.1"
1.46556911919852e-31,0.460053826720772,0.797,0.721,2.88409346967078e-27,"0","ENSMUSG00000026701.15"
4.23351111786459e-31,0.309577354941821,0.918,0.709,8.33112652884573e-27,"0","ENSMUSG00000052435.7"
1.21827376941909e-30,0.56562754622849,0.698,0.6,2.39744095083983e-26,"0","ENSMUSG00000074604.9"
1.26024294611322e-29,0.394922800660526,0.833,0.758,2.4800320936562e-25,"0","ENSMUSG00000073616.10"
1.34423042503747e-29,0.314060303835015,0.774,0.71,2.64531105343124e-25,"0","ENSMUSG00000035781.14"
1.7162943871579e-29,0.265036528721966,0.601,0.456,3.37749572448803e-25,"0","ENSMUSG00000081665.2"
2.25745918348224e-29,0.480414149072323,0.705,0.641,4.4424539271747e-25,"0","ENSMUSG00000038633.5"
2.32724204336636e-29,1.07351735418063,0.393,0.292,4.57977961714065e-25,"0","ENSMUSG00000035790.15"
2.55225679523862e-29,0.74135676795569,0.528,0.433,5.02258614735008e-25,"0","ENSMUSG00000069873.4"
3.77034012961528e-29,0.279005203614353,0.825,0.658,7.4196523410699e-25,"0","ENSMUSG00000025351.14"
5.60316653508055e-29,0.755919764710275,0.271,0.159,1.1026471424385e-24,"0","ENSMUSG00000032501.9"
9.10747559117662e-29,0.284468225639936,0.691,0.584,1.79226012158765e-24,"0","ENSMUSG00000049130.6"
9.65988475595612e-29,0.573889891865017,0.642,0.539,1.90096872112461e-24,"0","ENSMUSG00000037706.17"
1.32836418810239e-28,0.391950303810735,0.773,0.655,2.61408788576669e-24,"0","ENSMUSG00000004864.13"
2.31867741370214e-28,0.54715786382143,0.563,0.479,4.56292528242445e-24,"0","ENSMUSG00000030786.18"
3.76992566203383e-28,0.54199660930528,0.587,0.512,7.41883671031638e-24,"0","ENSMUSG00000002058.13"
1.61251241603403e-27,0.55142323213651,0.495,0.398,3.17326318351338e-23,"0","ENSMUSG00000097354.7"
7.19821255201427e-27,0.510145896126533,0.651,0.585,1.41653624811089e-22,"0","ENSMUSG00000021866.15"
5.62252404717233e-26,0.588917389019343,0.555,0.489,1.10645650724304e-21,"0","ENSMUSG00000066152.11"
7.21935485386097e-26,0.69250107226708,0.46,0.366,1.4206968416913e-21,"0","ENSMUSG00000066682.11"
1.06334529393709e-24,0.583111328853192,0.542,0.452,2.0925572039388e-20,"0","ENSMUSG00000073002.9"
1.0998210692732e-24,0.978344522247766,0.354,0.259,2.16433788222272e-20,"0","ENSMUSG00000059900.14"
2.38813046187974e-24,0.941094281765338,0.43,0.351,4.69960193593315e-20,"0","ENSMUSG00000034109.15"
3.60829382549084e-24,0.826441421391219,0.372,0.275,7.10076141918341e-20,"0","ENSMUSG00000031776.17"
3.7566429901693e-24,0.263688718340412,0.841,0.795,7.39269774035416e-20,"0","ENSMUSG00000028656.14"
4.34520947646223e-23,0.482341513414455,0.546,0.459,8.55093772873003e-19,"0","ENSMUSG00000058818.13"
5.38359714086047e-23,0.569807252625651,0.429,0.33,1.05943808134993e-18,"0","ENSMUSG00000096719.1"
2.56573177524529e-22,0.875970174397587,0.445,0.36,5.04910356050521e-18,"0","ENSMUSG00000039377.7"
8.86867963268939e-22,0.514595204375655,0.628,0.593,1.74526746491694e-17,"0","ENSMUSG00000023277.13"
1.36645505111715e-20,0.613995826468926,0.487,0.417,2.68904689509345e-16,"0","ENSMUSG00000015143.15"
4.60193378792244e-20,0.58382857750088,0.562,0.505,9.05614550125257e-16,"0","ENSMUSG00000024885.9"
1.15097204897486e-19,0.358370986124001,0.709,0.627,2.26499789517763e-15,"0","ENSMUSG00000020846.6"
2.93626581553824e-19,0.331378843722593,0.822,0.759,5.77827749839771e-15,"0","ENSMUSG00000028603.15"
3.82580073709175e-19,0.431258619810742,0.632,0.6,7.52879327052286e-15,"0","ENSMUSG00000035711.5"
6.26952036818608e-19,0.824971814698867,0.337,0.258,1.23377891325534e-14,"0","ENSMUSG00000059316.2"
5.54990398662913e-18,0.982796614474298,0.307,0.23,1.09216560552875e-13,"0","ENSMUSG00000027602.9"
1.43599266102512e-17,0.29723637989643,0.528,0.456,2.82588995763134e-13,"0","ENSMUSG00000046245.13"
1.9220826265508e-17,0.295342248832665,0.758,0.734,3.78246640078932e-13,"0","ENSMUSG00000042682.9"
4.15449537498934e-17,1.04043755325668,0.295,0.223,8.17563144844151e-13,"0","ENSMUSG00000025916.10"
4.21254230278398e-17,0.314165086711608,0.44,0.324,8.28986199764859e-13,"0","ENSMUSG00000092074.2"
7.00127994203156e-17,0.311312433799366,0.737,0.705,1.37778187979239e-12,"0","ENSMUSG00000020101.14"
1.79713031974222e-16,0.261855733669215,0.708,0.684,3.53657275622072e-12,"0","ENSMUSG00000026480.12"
2.52270984552497e-16,0.264335962326258,0.761,0.722,4.96444070500858e-12,"0","ENSMUSG00000028961.15"
7.82007503423268e-16,0.296714365533082,0.722,0.69,1.53891256598665e-11,"0","ENSMUSG00000000290.13"
2.5504227303631e-15,0.363864576090884,0.528,0.477,5.01897689108155e-11,"0","ENSMUSG00000036390.8"
